HNO3_M,Density_g_cm3,wt_Ni(NO3)2,wt_HNO3,wt_H2O,wt_Ni_total,wt_N,wt_O,wt_H,64Ni,58Ni,60Ni,61Ni,62Ni
0.0,1.1186952377081247,13.17542028793544,0.0,86.82457971206456,4.469492522595805,1.9667106994566843,83.84754073023603,9.716256047711472,4.2460178964660145,0.15352706815116607,0.05899730129826468,0.0027487379013964226,0.00820151877896331
0.005,1.1189501644046018,13.172418575727383,0.028155856267972356,86.79942556800464,4.46847425297133,1.9725216221816668,83.84511346699507,9.713891551546766,4.245050540322763,0.15349209058956534,0.058983860139221606,0.0027481116655773707,0.0081996502542024
0.01,1.1192050750338607,13.169418420007128,0.056298886956077904,86.77428269303678,4.4674565113535865,1.9783299261440714,83.84268723819217,9.711528111292758,4.244083685785907,0.15345713116499585,0.05897042594986739,0.0027474857544824583,0.00819778269833384
0.05,1.1212437770834542,13.145473118482547,0.28098260738578956,86.57354427413166,4.459333556352795,2.0247023348811304,83.82331453007991,9.692658497353277,4.236366878535155,0.15317810766071865,0.05886320294385694,0.0027424901371569713,0.008182877075907386
0.1,1.12379067586108,13.115680924850826,0.56069160701765,86.32362746813153,4.449227162495239,2.0824339832137024,83.7991908962369,9.669165754962819,4.226765804370477,0.15283095303171162,0.058729798544937206,0.0027362747049345746,0.008164331843178772
0.5,1.1441026624770174,12.88282984938204,2.753686450811215,84.36348369980675,4.370237185861316,2.5351744983724944,83.60978092430256,9.48489479620736,4.1517253265682506,0.15011764733433638,0.05768713085336943,0.0026876958693047123,0.008019385236055524
1.0,1.1693180181643796,12.60502250196608,5.388611055435067,82.00636644259886,4.275996711184787,3.0794444603569002,83.3814602876307,9.263269580696058,4.062196875625547,0.14688048702919757,0.05644315658763924,0.0026297379773786464,0.007846453965024092
2.0,1.2190879496282354,12.090415572897077,10.33723613119383,77.5723482959091,4.101426809710296,4.102698164604979,82.9499646591799,8.846238480649603,3.8963554692247815,0.14088401091354882,0.05413883388817596,0.002522377487971835,0.0075261181958184015
3.0,1.2678998388967195,11.624956072036394,14.908906382107205,73.4661375458564,3.9435291705303936,5.049491842354688,82.54759129147487,8.459860919140505,3.746352712003874,0.13546022700771915,0.05205458505100124,0.0024252704398761943,0.00723637602792328
5.0,1.3625494612481677,10.817427440332642,23.12209640532223,66.06047615434512,3.6695915577403952,6.75472718986713,81.8139075230793,7.762507647624715,3.4861119798533755,0.1260504700083827,0.04843860856217326,0.0022567988080103452,0.006733700508453632
