HNO3_M,Density_g_cm3,wt_Ni(NO3)2,wt_HNO3,wt_H2O,wt_Ni_total,wt_N,wt_O,wt_H,64Ni,58Ni,60Ni,61Ni,62Ni
0.0,1.118369620647099,13.143276876460593,0.0,86.85672312353941,4.470793830314305,1.9591553775138872,83.85019767992894,9.719853112242877,4.470793830314305,0.0,0.0,0.0,0.0
0.005,1.1186245678088713,13.140281375349256,0.028164051556377908,86.83155457309437,4.469774885951104,1.9649696775786278,83.84776919541494,9.717487135010321,4.469774885951104,0.0,0.0,0.0,0.0
0.01,1.118879498952478,13.137287427420576,0.05631526903387853,86.80639730354554,4.468756469915769,1.9707813561722838,83.84534174654108,9.71512221487346,4.468756469915769,0.0,0.0,0.0,0.0
0.05,1.1209183668632539,13.113391669654234,0.28106417854640653,86.60554415179935,4.460628131191978,2.017180664695783,83.82595932095344,9.696240804415053,4.460628131191978,0.0,0.0,0.0,0.0
0.1,1.1234654772419643,13.083661111218323,0.560853904960974,86.3554849838207,4.450515036985987,2.0749456957606784,83.80182364713089,9.672733422182592,4.450515036985987,0.0,0.0,0.0,0.0
0.5,1.1437793100173037,12.851291718298915,2.754464932533477,84.3942433491676,4.371472675025357,2.527943835856925,83.61232145641485,9.488349462156368,4.371472675025357,0.0,0.0,0.0,0.0
1.0,1.16899728200633,12.574059666896154,5.390089521154148,82.0358508119497,4.277169910454014,3.0725134366219007,83.38389500754305,9.266592732177466,4.277169910454014,0.0,0.0,0.0,0.0
2.0,1.2187730907984964,12.060523558783808,10.339906661168257,77.59956978004794,4.102486375642064,4.0962997083140795,82.95221464493878,8.849327470015131,4.102486375642064,0.0,0.0,0.0,0.0
3.0,1.2675912636213134,11.596042033607995,14.912535722277728,73.49142224411428,3.9444891610532,5.043549951641869,82.54968571837227,8.462748507631987,3.9444891610532,0.0,0.0,0.0,0.0
5.0,1.3622534879219532,10.79023963213311,23.127120083986156,66.08264028388074,3.670388840499311,6.749521978001871,81.81575492996177,7.765068329305154,3.670388840499311,0.0,0.0,0.0,0.0
